10470-2;PUMP HYD AUX/STANDBY;
1047PG-SB;SWITCH OIL PRESSURE;
104822;VALVE-SPILL;
1049100-1;DUMPER FLUTER;
10495N01W01;TORQUE INDICATOR;
10500-1;STBY PUMP;
1050ZMK2;INDICATOR LANDING GEAR POSITION;
1050ZMK3;INDICATOR LANDING GEAR POSITION;
10522B;UNKNOWN-29;
105490;UNIT-ELECTRIC METERS;
105495;MODULE WINDSH;
10552B;OIL TO FUEL HEATER;
10552D;OIL TO FUEL HEATER;
105540;GENERATOR DRIVE STAND BY;
105545;UNIT AC ENG AND APU;
105550;MODULE ENGINE & WING;
105746;COFFEEMAKER ERSATZ;
105RVSB;TACHO GENERATOR;
106055423;TRANSM HYD QTY SYS;
1061219-16;FUEL TANK UNIT;
1061230-25;Pilot Seat;
106788A144;ACT FLOW APU;
106RVSB;GEN-ENGINE SPEED;
107;DIAL INDICATOR;
10701-16;ACT AILERON HYD RH;
10701-19;ACTUATOR AILERON HYDRAULIC LH;
10701-20;ACTUATOR AILERON HYDRAULIC RH;
10701-21;ACTUATOR AILERON HYDRAULIC LH;
10701-22;ACTUATOR AILERON HYDRAULIC RH;
10701-23;ACTUATOR AILERON HYDRAULIC LH;
10701-24;ACTUATOR AILERON HYDRAULIC RH;
10705;GPS ANTENNA;
107060;HEAD SET;
107312-1;PNUEMATIC RELAY;
10738A;COOLER SURFACE;
107416-2-1;VALVE RATE CONTROL;
107492-2;BLEED AIR REGULATOR;
107492-3;BLEED AIR REGULATOR;
10750-09;UNKNOWN-30;
10750-10;TAB LOCKOUT CYLINDER;
10750-7;TAB LOCK OUT ACTUATOR L/H;
10750-8;TAB LOCKOUT CYLINDER;
10750-9;TAB LOCK OUT ACTUATOR  LH;
10751-17;TAB LOCK OUT ACTUATOR;
10760-1;AILERON TAB LOCK  ACT;
107726-13-01;FLIGHT MANAGEMENT COMPUTER;
107890-16-1;THERMOSTAT PNEUMATIC;
107890-8-1;THERMOSTAT PNUEMATIC WING;
107996-4-1;THERMOSTAT-PNEUMATIC;
107C800-1;HAND MIC;
107C800-21;HAND MIC;
108032-10;AIR PRESSURE REGULATOR;
108032-10-1;AIR PRESSURE REGULATOR;
108032-3;DIFF.PRESS REG APU;
108032-8;AIR PRESSURE REGULATOR;
108032-8-2;APU BLEED VALVE;
10810-1;RADIO RACK COOL FAN;
108136-26-1;AIR PRESSURE REGULATOR APU;
10851-5;SPEEDBRAKE SPRINGBOX;
108900-0001;TAPE REPRODUCER;
108930;TRANS EMERG LOCATOR;
10900-19;LIFT DUMPER ACTUATOR;
10900-7;ACTUATOR LIFT DUMPER;
109478-4-1;BLEED AIR VALVE;
109478-6-1;BLEED AIR VALVE;
109478-6-2;BLEED AIR VALVE;
109478-8-1;BLEED AIR VALVE;
109486-6-1;VALVE LOAD CONTROL;
109486-8;PRESSURE REGULATOR;
10951-17;MANIFOLD;
10951-19;MANIFOLD;
10951-23;MANIFOLD LIFT DUMPER;
109511903;HYDRAULIC PRESS MANIFOLD;
10953-1;LIFT DUMPER;
10978-15;AILERON BY PASS SWITCH;
109812-12;LOAD CONTROL VALVE;
109812-6;LOAD CONTROL VALVE;
109812-6-1;LOAD CONTROL VALVE;
10990-1;BUNGEE RUDDER TAIL ASSY;
109SPTBU1;SENSOR-AILERON TRANSMITER;
10A1-31N;BAROMETER MERCORIAL;
10A2735A;PNEUMATIC FLOW METER;
10IN-436-11IN;MICROMETER;
11-0049;EMERGENCY EXIT LIGHT;
11-0283-3;LIGHT ASSY;
11-7710-9-0001;TACHO GENERATOR;
110-05KZA1A;L/F RATE FUEL NOZZLE TEST;
110-320;ROD ANTENA;
110-328-01;BLADE ANTENNA;
1100-000-807;CENTER WING;
11002-11;MANIFOLD SHUT-OFF;
11002-9;MANIFOLD SHUT-OFF;
11010-21;ACTUATOR RUDDER CONTROL;
11010-25;ACTUATOR RUDDER CONTROL;
11045-11;MANIFOLD SHUT-OFF;
11045-9;MANIFOLD SHUT-OFF;
11059-35;TIMER ASSY;
11059-55;TIMER ASSY;
11080-1;RUDDER SPRING STRUT;
110869-11;BY PASS SWITCH;
110M21;FUEL VALVE;
110M81;OVER FLOW VALVE;
1110-052A1A;FLOW METER;
1110-05K2A1A;LOW FLOW RATE METER;
1110-08H21A;FLOW METER;
1110-08HZA1A;FLOW RATE OIL NOZZLE TEST;
11100-39;HORIZON STABILIZER CONTROL;
11100-39AA;UNKNOWN-32;
11100-39AAA;HORIZON STABILIZER CONTROL;
11100-43A;HORIZON STABILIZER CONTROL;
111011;UNKNOWN-04;
1111-517716;VALVE NON RETURN;
1115P31;SWITCH PRESSURE;
11162-41-1116;NCU;
1117-1-104;"""4""""FPCDU""";
11210-13;ACTUATOR HYDRAULIC SPEED BRAKE;
112144A;CREW OXYGEN BOTTLE;
1121S1-10-10;TRAILING EDGE;
112410;UNIT AURAL WARNING;
1127-030-902;TANK ASSY-W/M LH;
1128-030-902;TANK ASSY-W/M RH;
11290-2;CHECK VALVE;
1135PGCP;PRESS TRANSMITTER;
1138PGCP-15;UNKNOWN-33;
1138PGCP1-15;SWITCH OIL FLOW;
114022-22;UNKNOWN-34;
114142001;VALVE-SELECTOR;
114167001ISS2;JACK NOSE WHELL STEERING;
114168001ISS8;VALVE SELECTOR;
114202003;VALVE STEERING CONTROL;
114220002;MAIN LANDING GEAR RETRACT ACTUATOR;
114350001;NOSE LANDING GEAR RETRACT ACTUATOR;
1145-0035;TRANSMITTER WATER QUANTITY;
1147-705-417L;SILENCER;
1147-705-419;SILENCER ASSY;
114M11;VALVE TRANSFER CONTROL;
115-192;DC VOLTMETER;
115-195;BRAKE PRESS IND;
115-220;AC VOLTMETER;
115-230;CABIN TEMP IND;
115-239;DC AMMETER;
115-240;HYD QUANTITY IND;
115-240-10;INDICATOR HYDRAULIC QUANTITY;
115-281;DC AMMETER INDICATOR;
1150;VERNIER CALIPER;
115012;PAX OXYGEN VALVE;
115012-1;PAX OXYGEN VALVE;
115057-22;OXYGEN PANEL ASSY;
115057-23;PANEL OXYGEN ASSY DOUBLE;
115057-24;PANEL OXYGEN ASSY TRIPLE;
11533;TRANSFORMER-AUDIO;
1155020;VALVE RELIEF;
1155030;RELIEF  VALVE;
1159P41150-21;AFTER COWLING ASSY;
1159P41150-9;INLET COWLING ASSY;
1159P41210-10;COWLING DOOR ASSY;
1159P41210-9;COWLING DOOR ASSY;
1159P41230-5;COWLING DOOR ASSY;
1159P41230-7;COWLING DOOR ASSY;
1159P41260-3;FIXED COWLING ASSY;
1159P41260-4;FIXED COWLING ASSY;
1159P41301-10;ENGINE MOUNT ASSY;
1159P41301-9;ENGINE MOUNT ASSY;
1159P41330-7;STRUT ASSY;
1159P41330-8;STRUT ASSY;
